id_dataset,perusahaan,jenis,jumlah,total,potensial
1,BPJS KESEHATAN,SKH,37,263000,tidak
2,BLBI ABIYOSO,PPKH,873,108402501,potensial
3,BPKP JABAR,SKH,266,3201001,potensial
4,RSUD CIBABAT,EXP CORPORATE,5,95500,tidak
5,PT ALFA OMEGA INDUSTRI,EXP CORPORATE,2,3131000,tidak
6,BPJS KETENAGAKERJAAN,SKH,1809,13224500,potensial
7,KPP PRATAMA SOREANG,SKH,490,5064500,potensial
8,KPP PRATAMA CIMAHI,SKH,7168,51412301,potensial
9,ULTRAJAYA MILK INDUSTRY,SKH,846,31064000,potensial
10,BALAI DIKLAT KEUANGAN,EXP CORPORATE,13,180500,tidak
11,SINAR CONTINENTAL,EXP CORPORATE,191,6272603,tidak
12,FAMILY ONLINE SHOP,EXP CORPORATE,80,9253600,potensial
13,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,356,410969000,potensial
14,DINAS PERIJINAN BANDUNG BARAT,EXP CORPORATE,107,1107500,potensial
15,WOM FINANCE,SKH,340,2145000,potensial
16,ADIRA DINAMIKA FINANCE,SKH,13,1164100,tidak
17,MEGA FINANCE,SKH,559,4057000,potensial
18,BJB,SKH,20,373500,tidak
19,BPJS KESEHATAN,SKH,16,112000,tidak
20,BLBI ABIYOSO,PPKH,1352,46271500,potensial
21,BPKP JABAR,SKH,187,2158500,tidak
22,RSUD CIBABAT,EXP CORPORATE,1,10000,tidak
23,PT ALFA OMEGA INDUSTRI,EXP CORPORATE,0,0,tidak
24,BPJS KETENAGAKERJAAN,SKH,1023,7891500,potensial
25,KPP PRATAMA SOREANG,SKH,930,8170000,potensial
26,KPP PRATAMA CIMAHI,SKH,9908,70493001,potensial
27,ULTRAJAYA MILK INDUSTRY,EXP CORPORATE,707,25670000,potensial
28,BALAI DIKLAT KEUANGAN,SKH,18,508500,tidak
29,SINAR CONTINENTAL,EXP CORPORATE,101,3364000,potensial
30,FAMILY ONLINE SHOP,EXP CORPORATE,89,6174597,potensial
31,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,341,387082500,potensial
32,DINAS PERIJINAN BANDUNG BARAT,EXP CORPORATE,82,826500,tidak
33,WOM FINANCE,SKH,395,2575000,potensial
34,BUNDA JAYA HERBAL,LOGISTIK,298,21414755,potensial
35,ADIRA DINAMIKA FINANCE,SKH,13,1170000,tidak
36,MEGA FINANCE,SKH,106,771800,potensial
37,BJB,SKH,4,56500,tidak
38,BPJS KESEHATAN,SKH,242,1694000,potensial
39,BLBI ABIYOSO,PPKH,4,1127000,tidak
40,BPKP JABAR,SKH,346,3749500,potensial
41,RSUD CIBABAT,EXP CORPORATE,3,49000,tidak
42,PT ANUGRAH DWIJAYA LOG,LOGISTIK,28,56040057,potensial
43,BPJS KETENAGAKERJAAN,SKH,1238,9278500,potensial
44,KPP PRATAMA SOREANG,SKH,805,7170500,potensial
45,KPP PRATAMA CIMAHI,SKH,4799,34395000,potensial
46,ULTRAJAYA MILK INDUSTRY,SKH,736,28573000,potensial
47,BALAI DIKLAT KEUANGAN,EXP CORPORATE,11,183700,tidak
48,SINAR CONTINENTAL,EXP CORPORATE,184,4740500,potensial
49,FAMILY ONLINE SHOP,EXP CORPORATE,307,5827301,potensial
50,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,425,500404500,potensial
51,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,46,460000,tidak
52,COD BUNDA JAYA,EXP CORPORATE,459,42472996,potensial
53,WOM FINANCE,SKH,437,2885000,potensial
54,ADIRA DINAMIKA FINANCE,SKH,13,1335000,tidak
55,MEGA FINANCE,SKH,619,4401500,potensial
56,BJB,SKH,2,25500,tidak
57,BPJS KESEHATAN,SKH,194,1367000,potensial
58,BLBI ABIYOSO,PPKH,0,0,tidak
59,BPKP JABAR,SKH,259,2895000,potensial
60,RSUD CIBABAT,EXP CORPORATE,1,15500,tidak
61,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
